"Module"	"Gene1"	"Gene2"
"M1"	"HTR1B"	"PSMB7"
"M1"	"HTR1B"	"RNF182"
"M1"	"HTR1B"	"KLF3"
"M1"	"HTR1B"	"SUPV3L1"
"M1"	"HTR1B"	"IPCEF1"
"M1"	"HTR1B"	"LARP4B"
"M1"	"CNGB1"	"VPS11"
"M1"	"CNGB1"	"TCF3"
"M1"	"CNGB1"	"SPHK2"
"M1"	"CNGB1"	"ITGAL"
"M1"	"CNGB1"	"GNG2"
"M1"	"CNGB1"	"FCGRT"
"M1"	"CNGB1"	"ERI3"
"M1"	"CNGB1"	"YAP1"
"M1"	"CNGB1"	"CBFA2T2"
"M1"	"CNGB1"	"TRIM63"
"M1"	"CNGB1"	"TYR"
"M1"	"CNGB1"	"ZMYND11"
"M1"	"CNGB1"	"KCNIP2"
"M1"	"CNGB1"	"SLITRK3"
"M1"	"CNGB1"	"SCNM1"
"M1"	"CNGB1"	"ZNF528"
"M1"	"CNGB1"	"KRT25"
"M1"	"CNGB1"	"RING1"
"M1"	"CNGB1"	"TPD52L1"
"M1"	"CNGB1"	"CDON"
"M1"	"TPM3"	"ACSL6"
"M1"	"BLID"	"ACSL6"
"M1"	"KRT16"	"DAB1"
"M1"	"CLASRP"	"LRRTM4"
"M1"	"PITX1"	"SOSTDC1"
"M1"	"PITX1"	"KLF3"
"M1"	"PITX1"	"MORN4"
"M1"	"PITX1"	"NCR1"
"M1"	"PITX1"	"DRD1"
"M1"	"PITX1"	"TAC3"
"M1"	"PITX1"	"MRPS10"
"M1"	"PITX1"	"MME"
"M1"	"PITX1"	"PIK3C2A"
"M1"	"ARHGAP1"	"C8orf34"
"M1"	"RFC3"	"C8orf34"
"M1"	"GNA15"	"SLC27A6"
"M1"	"LONP2"	"DLGAP2"
"M1"	"LONP2"	"ACSL6"
"M1"	"STARD10"	"PKP1"
"M1"	"SON"	"COL23A1"
"M1"	"HOXD4"	"PIK3C2B"
"M1"	"HOXD4"	"PTP4A1"
"M1"	"HOXD4"	"BMPR1A"
"M1"	"HOXD4"	"OLIG3"
"M1"	"HOXD4"	"TRAF3IP1"
"M1"	"HOXD4"	"EIF3I"
"M1"	"HOXD4"	"ST7L"
"M1"	"HOXD4"	"SYNE1"
"M1"	"HOXD4"	"NPRL3"
"M1"	"HOXD4"	"SFPQ"
"M1"	"HOXD4"	"MAPKBP1"
"M1"	"HOXD4"	"ODF4"
"M1"	"HOXD4"	"UPRT"
"M1"	"HOXD4"	"ZNF324B"
"M1"	"HOXD4"	"ADPGK"
"M1"	"HOXD4"	"SRGN"
"M1"	"HOXD4"	"ABLIM2"
"M1"	"TWISTNB"	"STX3"
"M1"	"TWISTNB"	"PCK2"
"M1"	"BHMT"	"FOLR3"
"M1"	"BHMT"	"DNA2"
